ASIN,Group,Profit
1585470414,Book,63.48
0887405789,Book,50.58
0192803816,Book,153.48
0028634659,Book,28.76
0878083510,Book,92.28
0674008421,Book,179.34
B00000JG38,Music,11.410000000000002
B000002NQ2,Music,3.84
0451527135,Book,82.92
0890818576,Book,65.60000000000001
0451187741,Book,203.56000000000003
0310223644,Book,122.64
0440409713,Book,28.6
0761314334,Book,48.72
0380977931,Book,151.8
086442552X,Book,74.7
0689849249,Book,73.92
0963310917,Book,113.41
0891092722,Book,101.10000000000001
0345311973,Book,58.7
B00004SYS4,Music,25.8
1563974142,Book,21.32
B00006AG5E,Music,8.35
0721692419,Book,149.5
B00004THDI,Music,18.46
1567065368,Book,161.37
0929311051,Book,53.28
B000053VXV,Music,34.08
0312033559,Book,77.39999999999999
0312187432,Book,78.24
B00006IUJJ,DVD,110.52
0521295939,Book,57.96
0590687158,Book,66.0
1585310999,Book,51.650000000000006
0750672455,Book,53.76
0672320460,Book,76.64999999999999
1567313736,Book,67.25
B00005N89B,DVD,67.5
0521560772,Book,77.60000000000001
0425154513,Book,80.52
B000000DE5,Music,7.36
0809128276,Book,115.92
1565112784,Book,54.67
6304779631,DVD,109.4
B0000033XM,Music,32.699999999999996
0786004703,Book,27.92
B000063RVZ,Music,17.28
0811214028,Book,105.6
0898457963,Book,138.3
068810987X,Book,54.629999999999995
0810943565,Book,111.10000000000001
1899836713,Book,122.13
1562012940,Book,129.45
0553581872,Book,98.98
0312241356,Book,137.51999999999998
0689710518,Book,113.82000000000001
B00005U17R,Video,61.32000000000001
1583222634,Book,20.52
1580534872,Book,114.6
0886772877,Book,63.66
1555612717,Book,98.32000000000001
0071354204,Book,60.650000000000006
0310246768,Book,57.800000000000004
1583761667,Book,35.91
0761119795,Book,77.58
0375508082,Book,132.20000000000002
B000003356,Music,15.890000000000002
0689855680,Book,150.50000000000003
0768322634,Book,33.66
0802130410,Book,86.94000000000001
0787909475,Book,81.06
B00000DR6C,Music,10.850000000000001
B000059ZXD,Video,64.74000000000001
B00006RSTR,Music,8.24
0192802267,Book,49.7
B000007ZYP,Music,27.900000000000002
0679772812,Book,74.46
082981180X,Book,61.68
0879754036,Book,93.24000000000001
1580763014,Book,95.7
B00000J98U,Music,16.94
0821224816,Book,104.39
1586091441,Book,182.98000000000002
B000026CWI,Music,4.24
1890318337,Book,112.14
0970013043,Book,19.529999999999998
0060956771,Book,41.44
B00000IR7Y,Music,26.4
078680436X,Book,123.80000000000001
B000068QZK,Music,5.72
B00008AOWT,DVD,12.959999999999999
0060928883,Book,38.12
0525451358,Book,59.92
0679763171,Book,37.89
B000066792,Video,92.56
0802444512,Book,40.64
0520233395,Book,29.88
B00000ILYI,Music,18.41
0226520862,Book,33.06
B0000714B3,DVD,105.42000000000002
0517219700,Book,120.01
1859608493,Book,126.42000000000002
B0000024Z6,Music,16.8
B00005JKYX,DVD,126.49000000000001
0613310829,Book,169.65
B000001DZD,Music,12.530000000000001
B000024GWV,Music,33.9
0809136856,Book,94.7
0684831864,Book,167.18
3540613943,Book,160.04999999999998
076530032X,Book,37.62
6303443958,Video,81.76
B000002J2D,Music,20.759999999999998
B000002967,Music,13.8
B0000062VZ,Music,23.66
B000068TTI,Video,10.83
0827380402,Book,88.60000000000001
0688096433,Book,102.10000000000001
0132871297,Book,169.0
1581342454,Book,65.16
0312867964,Book,39.410000000000004
B0000010HB,Music,8.35
1576853942,Book,34.769999999999996
6304502028,Video,84.89
0240802594,Book,83.39999999999999
0679450424,Book,87.45
0789425793,Book,175.79999999999998
0443062846,Book,69.48
048629806X,Book,48.6
0486237990,Book,46.2
0374463395,Book,85.95
1880000490,Book,106.60000000000001
B000006NY3,Music,23.04
B000056JSS,DVD,35.699999999999996
B000007T6O,Music,24.18
0071408886,Book,59.800000000000004
0787952818,Book,105.38
0866365826,Book,157.19
0060957298,Book,92.82000000000001
B00005JY1R,Music,24.700000000000003
0375405283,Book,86.22
0312284888,Book,77.42
0948390638,Book,99.05000000000001
0824518411,Book,70.98
0471213268,Book,115.4
188729922X,Book,172.48000000000002
068487136X,Book,50.5
068480137X,Book,49.52
0802727867,Book,40.160000000000004
0198531613,Book,35.76
0130629812,Book,91.91
0226260127,Book,99.54
0070393591,Book,118.0
1561011983,Book,58.85
B000002H47,Music,8.58
094193635X,Book,45.800000000000004
0809229390,Book,159.46
B00003CY1G,DVD,56.61
019502575X,Book,57.09
0375726500,Book,81.97000000000001
B00005NHL4,Music,20.64
0152163808,Book,21.64
6300249964,Video,83.07000000000001
0827367619,Book,43.44
0803719272,Book,89.54
1582451419,Book,83.23
156898054X,Book,38.45
0794501826,Book,62.81
0938510304,Book,127.4
0913543039,Book,127.94999999999999
0516262440,Book,68.08
0393020428,Book,149.71
0671027514,Book,108.45
067972849X,Book,46.800000000000004
0886775590,Book,81.17999999999999
073886787X,Book,92.64
0808523384,Book,22.65
0815110294,Book,194.04000000000002
0345423496,Book,156.15
B000002WBT,Music,9.99
B00004YRCK,Music,22.88
0571191509,Book,22.32
0345345886,Book,63.42000000000001
1881043053,Book,146.04
039923456X,Book,33.78
0521596491,Book,48.800000000000004
0306446790,Book,116.7
B0000032N0,Music,10.72
1563086026,Book,129.96
B00005NX0E,Music,18.599999999999998
0953021831,Book,40.25000000000001
B000028DDD,Music,20.23
0750642475,Book,119.25
0783230621,DVD,61.36
0895262487,Book,117.92
0805062203,Book,42.07000000000001
0881504653,Book,71.33000000000001
1558671110,Book,111.41000000000001
0781808642,Book,76.25999999999999
0486291766,Book,47.85
0969920377,Book,17.009999999999998
051511054X,Book,159.12
B000000A3Z,Music,25.74
0787941166,Book,65.39999999999999
B00005QISB,Music,26.51
B00004RE27,DVD,78.2
0316234354,Book,58.17000000000001
0312300980,Book,129.25
0936347562,Book,43.92
1583500499,Video,103.05
B00000G4QD,Music,10.17
0873649214,Book,70.74
078948000X,Book,201.60000000000002
0694520071,Book,116.5
0764534211,Book,41.01
B000000KQH,Music,17.88
1878239910,Book,34.68
B00006BTAT,Music,37.18
0804119775,Book,103.32
B00005OCMS,DVD,68.04
B000059T1P,Music,24.45
0811201201,Book,145.5
0201136880,Book,207.9
1555973590,Book,103.35000000000001
0192811649,Book,40.88
B00000GBRB,Music,4.5200000000000005
0818907975,Book,28.88
B00004U0ZT,Music,21.45
0446609811,Book,135.96
076741845X,Book,207.15
0882663364,Book,33.6
076791175X,Book,39.6
B00005V8PX,Music,21.119999999999997
0929652207,Book,26.64
0310247896,Book,38.2
6304126352,Video,47.52
0812509242,Book,66.08000000000001
0375414347,Book,170.10000000000002
0679729771,Book,164.1
1558611762,Book,156.84
B000007SZ3,Music,20.79
041511425X,Book,174.6
0140440844,Book,63.28
1574101269,Book,135.29999999999998
B00000219N,Music,25.63
067087888X,Book,114.51
1931514860,Book,114.48
0312970323,Book,128.9
0664501230,Book,171.47
0786906839,Book,138.05
B00003CXIA,DVD,50.150000000000006
1552095932,Book,31.5
0914728695,Book,92.7
B000000OXR,Music,24.1
9748717127,Book,110.2
B00005AKV7,Music,28.08
B000001TYF,Music,3.4499999999999997
B00005IBVG,DVD,49.21000000000001
1572306602,Book,128.51999999999998
0806134070,Book,19.11
0803920547,Book,78.26
0721690440,Book,28.169999999999998
0805050701,Book,20.04
089886576X,Book,16.14
0295974796,Book,53.1
4770023324,Book,188.02
0962962821,Book,48.300000000000004
1566395453,Book,93.52
0813526779,Book,100.76
0874041872,Book,117.10000000000001
007255181X,Book,81.81
0446609951,Book,53.150000000000006
0520213335,Book,93.06
1903450454,Book,92.7
6301311876,Video,52.6
0741400006,Book,100.9
1575240602,Book,84.48
B000002X2Y,Music,39.3
0387985867,Book,82.03
B0000028TK,Music,25.52
0743203844,Book,112.06
0471267163,Book,127.19999999999999
0689715641,Book,127.05
0838480977,Book,179.28
1892124165,Book,78.0
0292752555,Book,52.6
063403216X,Book,69.8
0156003295,Book,27.869999999999997
0312112769,Book,105.83999999999999
0763616265,Book,32.16
0761922334,Book,210.15
B000056F7M,Music,30.84
0136800424,Book,112.72
0802847102,Book,77.35000000000001
031023882X,Book,42.800000000000004
058228452X,Book,85.80000000000001
B000088E78,Music,12.9
0553271989,Book,130.79
1889127272,Video,62.92
0375415734,Book,140.69
031423764X,Book,32.79
0786832541,Book,113.96000000000001
0802860907,Book,20.92
1862271658,Book,64.92
0879759402,Book,78.45
B00005NNT1,Video,66.48
0399221255,Book,93.78
B00000027B,Music,13.64
B000005P02,Music,19.880000000000003
1861890508,Book,130.9
B00004T3CW,Video,56.42
0323011918,Book,138.72
B00006HI9I,Music,14.200000000000001
3822815942,Book,140.16
0880480203,Book,29.84
0679748164,Book,35.35
0310212766,Book,203.98000000000002
0231116381,Book,40.08
0898625696,Book,47.550000000000004
006440188X,Book,98.39999999999999
157324161X,Book,75.6
0962338915,Book,171.45
0815604238,Book,160.95
0966892682,Book,201.29999999999998
1882514130,Book,117.9
0736908102,Book,49.95
1855325675,Book,83.61
1583371397,Book,80.00999999999999
1564584577,Book,52.36
081921745X,Book,95.31
B000005J09,Music,7.0
0791422526,Book,111.60000000000001
0195142616,Book,22.96
B000001FSJ,Music,12.6
0864425899,Book,46.6
0743428323,Book,41.95
B000001491,Music,13.97
0156006456,Book,104.52
B00005T7HN,DVD,59.29
1555446345,Book,78.75
B00006JMQG,DVD,49.61
B00005BKZT,Video,11.309999999999999
031211933X,Book,105.5
0521779812,Book,130.04999999999998
B00005LC40,DVD,41.04
B0000070KA,Music,21.0
0873495659,Book,130.65
189198408X,Book,65.04
0833561669,Book,169.32
0071008039,Book,165.6
155868302X,Book,97.30000000000001
B00005OC92,Music,11.9
0375708391,Book,116.56
006095566X,Book,58.25
0894649213,Book,19.77
0658007858,Book,42.300000000000004
B000069I1U,DVD,129.0
1578631572,Book,93.06
0064401367,Book,32.4
0688171982,Book,83.5
6305841314,DVD,82.30000000000001
087891188X,Book,81.0
B00000JSBQ,Music,31.799999999999997
0195101243,Book,152.23000000000002
B000003S89,Music,10.62
B00005OAJR,Music,26.7
B00008W2UC,Music,24.96
1840006331,Book,164.01
B00000BIJF,Music,22.2
6305683875,DVD,128.05
0746017502,Book,66.66
0802808646,Book,115.2
0783227280,Video,41.309999999999995
0874779871,Book,156.52
0804010153,Book,89.54
1570713383,Book,90.8
0688144225,Book,171.6
1893554139,Book,58.8
1564559033,Book,150.9
0553480804,Book,146.41
0380729741,Book,53.400000000000006
013048699X,Book,102.16
0743241231,Book,87.0
0205271243,Book,156.12
0192803395,Book,61.0
0735102937,Book,54.480000000000004
0809138662,Book,90.8
0262062224,Book,132.12
0834109263,Book,72.35000000000001
0395259371,Book,46.75
0312195567,Book,103.32
0198238029,Book,135.41
0801863988,Book,147.5
B000001M4D,Music,7.8
0835235203,Book,57.92
0192627724,Book,62.72
0822313405,Book,64.05000000000001
0814797679,Book,112.67999999999999
B000005HH0,Music,8.37
0582247373,Book,26.400000000000002
1591391806,Book,29.2
0452278031,Book,93.45
0735200777,Book,88.80000000000001
0534583695,Book,47.7
B000007WQB,Music,12.0
B00004W1PO,Music,11.25
0966394984,Book,80.28
B000000HPS,Music,5.65
059004706X,Book,55.44
0965242277,Book,156.9
0934140634,Book,114.3
6300989356,Video,18.0
0914171984,Book,95.28
B000002ACX,Music,7.109999999999999
950040205X,Book,123.72
0395742838,Book,105.10000000000001
0669386405,Book,101.97
B00003IPFL,Video,34.65
B00006G8P0,DVD,33.69
0823088391,Book,107.16
0471386502,Book,50.32
0806133651,Book,162.89000000000001
156625079X,Book,36.75
0818405147,Book,122.85
158134497X,Book,95.13000000000001
0395859964,Book,33.85
0201407264,Book,77.39999999999999
0761976531,Book,59.85000000000001
B00005QHUS,Music,26.25
1574535137,Book,48.6
0701637390,Book,55.36
B0000004SF,Music,7.15
0552144304,Book,177.6
0688133827,Book,74.3
0804116385,Book,29.07
0763610836,Book,33.78
0823023974,Book,152.74
0691008825,Book,135.8
B00004L8FC,Music,12.959999999999999
B0000009AL,Music,19.880000000000003
B000002OIT,Music,9.200000000000001
0060989238,Book,121.42
0465042252,Book,95.16
0316788287,Book,112.00000000000001
0521585767,Book,126.75
B00000IAD2,Music,24.6
083736678X,Book,137.4
0895262304,Book,63.18
B000007WMJ,Music,23.2
0156008548,Book,111.11999999999999
B00005ALOB,Video,78.65
1569753601,Book,142.32
B00005QAS5,Video,58.68
B000006STA,Music,15.44
B000000ZKN,Music,23.04
B00005OCL7,DVD,101.27000000000001
0789201747,Book,57.900000000000006
B00000JSJQ,DVD,31.900000000000002
0819218200,Book,127.67999999999999
0471528935,Book,67.7
0852967772,Book,134.37
B000003RSM,Music,16.1
0072226188,Book,93.24
0881411744,Book,193.9
B00001W0CZ,Music,22.88
0140366822,Book,134.54000000000002
B000001M0Z,Music,9.8
0060959215,Book,182.4
B0000040XN,Music,41.580000000000005
0486261255,Book,115.02
0631235930,Book,30.209999999999997
0521574498,Book,160.79999999999998
0689819846,Book,73.15
B000003FBC,Music,12.78
1557044406,Book,37.28
1591292468,Book,84.50999999999999
B000000N9J,Music,8.4
0689825404,Book,67.2
1585651052,Video,73.4
0471369799,Book,71.37
0964489538,Book,135.10000000000002
0131411152,Book,127.19999999999999
0520226577,Book,33.39
0925279293,Book,98.7
1862041040,Book,161.48
0415207088,Book,41.699999999999996
6302516986,Video,67.8
0931674085,Book,123.92999999999999
0060927542,Book,97.60000000000001
1583141863,Book,93.38000000000001
0679736379,Book,30.54
0310243564,Book,76.51
0394836138,Book,76.8
0931866472,Book,108.0
0964398826,Book,74.36
B00004TRUN,Music,42.9
0062720376,Book,39.64
186126190X,Book,98.49000000000001
B000063NNS,Music,38.25
B000002AT8,Music,7.92
B000002VMX,Music,10.850000000000001
630352446X,Video,16.900000000000002
0786709464,Book,26.8
0790740400,Video,72.48
B000001DUU,Music,10.25
0394733118,Book,139.8
1581602952,Book,142.8
6305899037,DVD,131.60000000000002
B00008RUMF,Book,139.1
B00005B24P,Video,8.219999999999999
B00000K3CI,DVD,51.800000000000004
0810942747,Book,107.2
3540438742,Book,130.20000000000002
B000058A7D,Music,10.98
0028217136,Book,43.45
B000002KYU,Music,8.32
0440215935,Book,172.56
6302888107,Video,83.52
2921997428,Book,103.61
006251136X,Book,18.39
6300217604,Video,33.800000000000004
6301868684,Video,22.150000000000002
0811834514,Book,86.45
0316611166,Book,60.150000000000006
6305340382,DVD,104.13000000000001
0811715965,Book,86.96000000000001
0486230562,Book,85.05
B00005UF3D,Music,43.5
1569752818,Book,78.4
0691090394,Book,92.4
0785202129,Book,44.22
B000006LEV,Music,8.64
1562801414,Book,111.24
0262731320,Book,56.7
0525942939,Book,111.10000000000001
093464103X,Book,25.900000000000002
0896085694,Book,146.16000000000003
0671619470,Book,26.560000000000002
6305470499,Video,18.36
B00000I8V3,Music,18.18
0964607700,Book,94.14
0440403359,Book,97.89
0521793734,Book,105.12
0631176896,Book,116.48
0205301630,Book,108.22000000000001
0471573167,Book,53.7
1566630851,Book,152.54999999999998
0812966015,Book,179.20000000000002
0802847080,Book,91.2
B00005NZX7,Music,38.480000000000004
1581822987,Book,126.70000000000002
B0000506TM,Music,14.08
1566869781,Book,169.56
B00004Y9VB,Music,22.32
0071373217,Book,49.379999999999995
0520226046,Book,122.92000000000002
B00000I9M1,Music,28.2
0393310361,Book,133.6
0393306321,Book,137.72
0821228153,Book,97.36
0691088608,Book,56.96
0883966395,Book,85.8
0072416483,Book,71.75
1564586022,Book,71.88
0201784807,Book,77.4
B00007GZWK,DVD,27.32
B00005UW8E,DVD,50.1
B00005NVFZ,Music,9.120000000000001
B000000132,Music,19.65
072324832X,Book,203.25
0786929502,Book,123.30000000000001
0030648025,Book,91.89
1559501952,Book,24.39
1558672591,Book,66.99
0878934812,Book,24.68
0226817504,Book,106.8
0380809184,Book,18.48
0531121712,Book,51.239999999999995
1559702788,Book,20.0
0671045806,Book,62.4
069811633X,Book,57.85
0673996921,Book,33.050000000000004
1565117263,Book,162.48
0887483461,Book,120.6
0571194281,Book,110.66
0789424908,Book,126.10000000000001
1883010632,Book,94.57000000000001
0553801449,Book,185.4
B000002E8J,Music,33.93
0632042052,Book,37.5
1568600615,Book,77.28
0844235237,Book,146.25
1885061846,Book,82.18
0896584305,Book,179.04
B00004YLCQ,Music,37.31
0374153876,Book,66.78
0312975708,Book,76.32000000000001
1585740861,Book,106.4
B000003TUJ,Music,9.0
0898705258,Book,159.9
0878913386,Book,106.68
0375759166,Book,83.60000000000001
0828319316,Book,70.7
0609807862,Book,137.15
0810935341,Book,64.7
076031246X,Book,148.20000000000002
0534356788,Book,78.60000000000001
B000087F0X,DVD,49.5
B00004RF9D,DVD,56.42
0453008755,Book,43.190000000000005
B000000Q2P,Music,33.6
0521015022,Book,47.4
B00000IIN6,Music,7.6499999999999995
1564141683,Book,107.7
0691012407,Book,28.29
0066620031,Book,162.24
1575669110,Book,134.51999999999998
067231374X,Book,59.94
0963508598,Book,69.29
6301802500,Video,35.7
0262530856,Book,56.88
0890814910,Book,27.36
0064405818,Book,120.68
0135006538,Book,67.13000000000001
0030314615,Book,53.73
B00004ZDME,Music,18.970000000000002
0931895456,Book,97.38
B00002SWP6,Music,3.0
0721668372,Book,37.1
0596003420,Book,56.08
0738200328,Book,83.75999999999999
B000005HOI,Music,17.64
B0000541AT,DVD,85.41
078683319X,Book,81.6
0737020490,Book,103.7
0486222268,Book,79.09
1858287235,Book,132.12
0877791783,Book,203.84000000000003
1930709323,Book,36.03
0812047389,Book,69.60000000000001
B000006O63,Music,8.44
0142300071,Book,60.1
B000034DDU,DVD,80.96
0135856124,Book,73.14
0820703141,Book,133.51
0922729611,Book,67.04
0970793146,Book,74.1
1887123504,Book,92.33000000000001
0761105948,Book,55.04
0374525978,Book,39.160000000000004
1568360223,Book,116.9
B000006GDP,Video,46.54
1853029807,Book,43.5
0671505610,Book,35.08
B000068NNT,Video,56.04
9627341223,Book,164.28
B00005QBYS,Video,36.269999999999996
0312960905,Book,31.32
0471281085,Book,83.82
1584853867,Book,53.22
0898705835,Book,29.22
